universe_index,genus,family,taxon
520,Centaurium,GENTIANACEAE,Centaurium erythraea
521,Centaurium,GENTIANACEAE,Centaurium maritimum
522,Centaurium,GENTIANACEAE,Centaurium pulchellum
523,Centranthus,CAPRIFOLIACEAE,Centranthus calcitrapae
524,Centranthus,CAPRIFOLIACEAE,Centranthus lecoqii
525,Centranthus,CAPRIFOLIACEAE,Centranthus ruber
526,Cephalanthera,ORCHIDACEAE,Cephalanthera damasonium
527,Cephalanthera,ORCHIDACEAE,Cephalanthera longifolia
528,Cephalanthera,ORCHIDACEAE,Cephalanthera rubra
529,Cerastium,CARYOPHYLLACEAE,Cerastium alpinum
530,Cerastium,CARYOPHYLLACEAE,Cerastium arvense
531,Cerastium,CARYOPHYLLACEAE,Cerastium brachypetalum
532,Cerastium,CARYOPHYLLACEAE,Cerastium diffusum
533,Cerastium,CARYOPHYLLACEAE,Cerastium fontanum
534,Cerastium,CARYOPHYLLACEAE,Cerastium glomeratum
535,Cerastium,CARYOPHYLLACEAE,Cerastium pumilum
536,Cerastium,CARYOPHYLLACEAE,Cerastium semidecandrum
537,Cerastium,CARYOPHYLLACEAE,Cerastium tomentosum
538,Cerinthe,BORAGINACEAE,Cerinthe major
539,Cervaria,APIACEAE,Cervaria rivini
540,Chaerophyllum,APIACEAE,Chaerophyllum aureum
541,Chaerophyllum,APIACEAE,Chaerophyllum hirsutum
542,Chaerophyllum,APIACEAE,Chaerophyllum temulum
543,Chamaemelum,ASTERACEAE,Chamaemelum fuscatum
544,Chamaemelum,ASTERACEAE,Chamaemelum mixtum
545,Chamaemelum,ASTERACEAE,Chamaemelum nobile
546,Chamaespartium,FABACEAE,Chamaespartium sagittale
547,Chenopodium,AMARANTHACEAE,Chenopodium album
548,Chenopodium,AMARANTHACEAE,Chenopodium ambrosioides
549,Chenopodium,AMARANTHACEAE,Chenopodium botrys
550,Chenopodium,AMARANTHACEAE,Chenopodium ficifolium
551,Chenopodium,AMARANTHACEAE,Chenopodium hybridum
552,Chenopodium,AMARANTHACEAE,Chenopodium murale
553,Chenopodium,AMARANTHACEAE,Chenopodium opulifolium
554,Chenopodium,AMARANTHACEAE,Chenopodium polyspermum
555,Chenopodium,AMARANTHACEAE,Chenopodium rubrum
556,Chenopodium,AMARANTHACEAE,Chenopodium urbicum
557,Chenopodium,AMARANTHACEAE,Chenopodium vulvaria
558,Chondrilla,ASTERACEAE,Chondrilla juncea
559,Chrysanthemum,ASTERACEAE,Chrysanthemum coronarium
560,Chrysanthemum,ASTERACEAE,Chrysanthemum segetum
561,Cicer,FABACEAE,Cicer arietinum
562,Cichorium,ASTERACEAE,Cichorium intybus
563,Cicuta,APIACEAE,Cicuta virosa
564,Circaea,ONAGRACEAE,Circaea lutetiana
565,Cirsium,ASTERACEAE,Cirsium acaule
566,Cirsium,ASTERACEAE,Cirsium arvense
567,Cirsium,ASTERACEAE,Cirsium echinatum
568,Cirsium,ASTERACEAE,Cirsium eriophorum
569,Cirsium,ASTERACEAE,Cirsium ferox
570,Cirsium,ASTERACEAE,Cirsium monspessulanum
571,Cirsium,ASTERACEAE,Cirsium palustre
572,Cirsium,ASTERACEAE,Cirsium pyrenaicum
573,Cirsium,ASTERACEAE,Cirsium rivulare
574,Cirsium,ASTERACEAE,Cirsium tuberosum
575,Cirsium,ASTERACEAE,Cirsium vulgare
576,Cistus,CISTACEAE,Cistus albidus
577,Cistus,CISTACEAE,Cistus crispus
578,Cistus,CISTACEAE,Cistus ladanifer
579,Cistus,CISTACEAE,Cistus laurifolius
580,Cistus,CISTACEAE,Cistus monspeliensis
581,Cistus,CISTACEAE,Cistus populifolius
582,Cistus,CISTACEAE,Cistus salviifolius
583,Cladium,CYPERACEAE,Cladium mariscus
584,Clematis,RANUNCULACEAE,Clematis alpina
585,Clematis,RANUNCULACEAE,Clematis campaniflora
586,Clematis,RANUNCULACEAE,Clematis flammula
587,Clematis,RANUNCULACEAE,Clematis recta
588,Clematis,RANUNCULACEAE,Clematis vitalba
589,Clypeola,BRASSICACEAE,Clypeola jonthlaspi
590,Cnicus,ASTERACEAE,Cnicus benedictus
591,Cochlearia,BRASSICACEAE,Cochlearia aragonensis
592,Cochlearia,BRASSICACEAE,Cochlearia glastifolia
593,Cochlearia,BRASSICACEAE,Cochlearia officinalis
594,Coeloglossum,ORCHIDACEAE,Coeloglossum viride
595,Colchicum,COLCHICACEAE,Colchicum autumnale
596,Colchicum,COLCHICACEAE,Colchicum lusitanum
597,Colchicum,COLCHICACEAE,Colchicum montanum
598,Colutea,FABACEAE,Colutea arborescens
599,Conium,APIACEAE,Conium maculatum
600,Conopodium,APIACEAE,Conopodium majus
601,Conopodium,APIACEAE,Conopodium pyrenaeum
602,Consolida,RANUNCULACEAE,Consolida ajacis
603,Consolida,RANUNCULACEAE,Consolida pubescens
604,Consolida,RANUNCULACEAE,Consolida regalis
605,Convallaria,ASPARAGACEAE,Convallaria majalis
606,Convolvulus,CONVOLVULACEAE,Convolvulus althaeoides
607,Convolvulus,CONVOLVULACEAE,Convolvulus arvensis
608,Convolvulus,CONVOLVULACEAE,Convolvulus cantabrica
609,Convolvulus,CONVOLVULACEAE,Convolvulus lineatus
610,Conyza,ASTERACEAE,Conyza bonariensis
611,Conyza,ASTERACEAE,Conyza canadensis
612,Conyza,ASTERACEAE,Conyza sumatrensis
613,Coris,PRIMULACEAE,Coris monspeliensis
614,Cornus,CORNACEAE,Cornus sanguinea
615,Coronilla,FABACEAE,Coronilla emerus
616,Coronilla,FABACEAE,Coronilla glauca
617,Coronilla,FABACEAE,Coronilla juncea
618,Coronilla,FABACEAE,Coronilla minima
619,Coronilla,FABACEAE,Coronilla repanda
620,Coronilla,FABACEAE,Coronilla scorpioides
621,Coronilla,FABACEAE,Coronilla varia
622,Corydalis,PAPAVERACEAE,Corydalis cava
623,Corydalis,PAPAVERACEAE,Corydalis claviculata
624,Corydalis,PAPAVERACEAE,Corydalis lutea
625,Corylus,BETULACEAE,Corylus avellana
626,Cotoneaster,ROSACEAE,Cotoneaster integerrimus
627,Cotoneaster,ROSACEAE,Cotoneaster tomentosus
628,Crassula,CRASSULACEAE,Crassula tillaea
629,Crataegus,ROSACEAE,Crataegus monogyna
630,Crepis,ASTERACEAE,Crepis albida
631,Crepis,ASTERACEAE,Crepis biennis
632,Crepis,ASTERACEAE,Crepis capillaris
633,Crepis,ASTERACEAE,Crepis foetida
634,Crepis,ASTERACEAE,Crepis lampsanoides
635,Crepis,ASTERACEAE,Crepis nicaeensis
636,Crepis,ASTERACEAE,Crepis paludosa
637,Crepis,ASTERACEAE,Crepis pulchra
638,Crepis,ASTERACEAE,Crepis pyrenaica
639,Crepis,ASTERACEAE,Crepis sancta
640,Crepis,ASTERACEAE,Crepis setosa
641,Crepis,ASTERACEAE,Crepis vesicaria
642,Crithmum,APIACEAE,Crithmum maritimum
643,Crocus,IRIDACEAE,Crocus carpetanus
644,Crocus,IRIDACEAE,Crocus nudiflorus
645,Crocus,IRIDACEAE,Crocus serotinus
646,Cruciata,RUBIACEAE,Cruciata glabra
647,Cruciata,RUBIACEAE,Cruciata laevipes
648,Crupina,ASTERACEAE,Crupina crupinastrum
649,Crupina,ASTERACEAE,Crupina vulgaris
650,Cuscuta,CONVOLVULACEAE,Cuscuta approximata
651,Cuscuta,CONVOLVULACEAE,Cuscuta campestris
652,Cuscuta,CONVOLVULACEAE,Cuscuta epithymum
653,Cuscuta,CONVOLVULACEAE,Cuscuta europaea
654,Cuscuta,CONVOLVULACEAE,Cuscuta planiflora
655,Cyclamen,PRIMULACEAE,Cyclamen balearicum
656,Cyclamen,PRIMULACEAE,Cyclamen hederifolium
657,Cyclamen,PRIMULACEAE,Cyclamen repandum
658,Cynoglossum,BORAGINACEAE,Cynoglossum cheirifolium
659,Cynoglossum,BORAGINACEAE,Cynoglossum creticum
660,Cynoglossum,BORAGINACEAE,Cynoglossum dioscoridis
661,Cynoglossum,BORAGINACEAE,Cynoglossum germanicum
662,Cynoglossum,BORAGINACEAE,Cynoglossum officinale
663,Cynosurus,POACEAE,Cynosurus cristatus
664,Cynosurus,POACEAE,Cynosurus echinatus
665,Cyperus,CYPERACEAE,Cyperus difformis
666,Cyperus,CYPERACEAE,Cyperus esculentus
667,Cyperus,CYPERACEAE,Cyperus flavescens
668,Cyperus,CYPERACEAE,Cyperus fuscus
669,Cyperus,CYPERACEAE,Cyperus longus
670,Cyperus,CYPERACEAE,Cyperus michelianus
671,Cyperus,CYPERACEAE,Cyperus rotundus
672,Cypripedium,ORCHIDACEAE,Cypripedium calceolus
673,Cystopteris,CYSTOPTERIDACEAE,Cystopteris dickieana
674,Cystopteris,CYSTOPTERIDACEAE,Cystopteris fragilis
675,Cytinus,CYTINACEAE,Cytinus hypocistis
676,Cytisus,FABACEAE,Cytisus arboreus
677,Cytisus,FABACEAE,Cytisus cantabricus
678,Cytisus,FABACEAE,Cytisus commutatus
679,Cytisus,FABACEAE,Cytisus multiflorus
680,Cytisus,FABACEAE,Cytisus oromediterraneus
681,Cytisus,FABACEAE,Cytisus scoparius
682,Cytisus,FABACEAE,Cytisus striatus
683,Dactylis,POACEAE,Dactylis glomerata
684,Dactylorhiza,ORCHIDACEAE,Dactylorhiza elata
685,Dactylorhiza,ORCHIDACEAE,Dactylorhiza fuchsii
686,Dactylorhiza,ORCHIDACEAE,Dactylorhiza incarnata
687,Dactylorhiza,ORCHIDACEAE,Dactylorhiza insularis
688,Dactylorhiza,ORCHIDACEAE,Dactylorhiza maculata
689,Dactylorhiza,ORCHIDACEAE,Dactylorhiza majalis
690,Dactylorhiza,ORCHIDACEAE,Dactylorhiza romana
691,Dactylorhiza,ORCHIDACEAE,Dactylorhiza sambucina
692,Daphne,THYMELAEACEAE,Daphne cneorum
693,Daphne,THYMELAEACEAE,Daphne gnidium
694,Daphne,THYMELAEACEAE,Daphne laureola
695,Daphne,THYMELAEACEAE,Daphne mezereum
696,Datura,SOLANACEAE,Datura stramonium
697,Daucus,APIACEAE,Daucus carota
698,Delphinium,RANUNCULACEAE,Delphinium elatum
699,Delphinium,RANUNCULACEAE,Delphinium fissum
700,Delphinium,RANUNCULACEAE,Delphinium gracile
701,Deschampsia,POACEAE,Deschampsia cespitosa
702,Descurainia,BRASSICACEAE,Descurainia sophia
703,Dianthus,CARYOPHYLLACEAE,Dianthus armeria
704,Dianthus,CARYOPHYLLACEAE,Dianthus barbatus
705,Dianthus,CARYOPHYLLACEAE,Dianthus benearnensis
706,Dianthus,CARYOPHYLLACEAE,Dianthus broteri
707,Dianthus,CARYOPHYLLACEAE,Dianthus carthusianorum
708,Dianthus,CARYOPHYLLACEAE,Dianthus deltoides
709,Dianthus,CARYOPHYLLACEAE,Dianthus hyssopifolius
710,Dianthus,CARYOPHYLLACEAE,Dianthus laricifolius
711,Dianthus,CARYOPHYLLACEAE,Dianthus lusitanus
712,Dianthus,CARYOPHYLLACEAE,Dianthus monspessulanus
713,Dianthus,CARYOPHYLLACEAE,Dianthus pungens
714,Dianthus,CARYOPHYLLACEAE,Dianthus superbus
715,Dictamnus,RUTACEAE,Dictamnus albus
716,Digitalis,PLANTAGINACEAE,Digitalis lutea
717,Digitalis,PLANTAGINACEAE,Digitalis parviflora
718,Digitalis,PLANTAGINACEAE,Digitalis purpurea
719,Digitaria,POACEAE,Digitaria ischaemum
720,Digitaria,POACEAE,Digitaria sanguinalis
721,Dipsacus,CAPRIFOLIACEAE,Dipsacus fullonum
722,Doronicum,ASTERACEAE,Doronicum austriacum
723,Doronicum,ASTERACEAE,Doronicum carpetanum
724,Doronicum,ASTERACEAE,Doronicum grandiflorum
725,Dorycnium,FABACEAE,Dorycnium hirsutum
726,Dorycnium,FABACEAE,Dorycnium pentaphyllum
727,Dorycnium,FABACEAE,Dorycnium rectum
728,Draba,BRASSICACEAE,Draba aizoides
729,Draba,BRASSICACEAE,Draba dedeana
730,Draba,BRASSICACEAE,Draba hispanica
731,Draba,BRASSICACEAE,Draba muralis
732,Draba,BRASSICACEAE,Draba nemorosa
733,Draba,BRASSICACEAE,Draba verna
734,Drosera,DROSERACEAE,Drosera intermedia
735,Drosera,DROSERACEAE,Drosera longifolia
736,Drosera,DROSERACEAE,Drosera rotundifolia
737,Dryopteris,DRYOPTERIDACEAE,Dryopteris affinis
738,Dryopteris,DRYOPTERIDACEAE,Dryopteris carthusiana
739,Dryopteris,DRYOPTERIDACEAE,Dryopteris dilatata
740,Dryopteris,DRYOPTERIDACEAE,Dryopteris expansa
741,Dryopteris,DRYOPTERIDACEAE,Dryopteris filix-mas
742,Dryopteris,DRYOPTERIDACEAE,Dryopteris oreades
743,Dryopteris,DRYOPTERIDACEAE,Dryopteris remota
744,Dryopteris,DRYOPTERIDACEAE,Dryopteris submontana
745,Ecballium,CUCURBITACEAE,Ecballium elaterium
746,Echinochloa,POACEAE,Echinochloa crus-galli
747,Echinochloa,POACEAE,Echinochloa muricata
748,Echinops,ASTERACEAE,Echinops ritro
749,Echium,BORAGINACEAE,Echium asperrimum
750,Echium,BORAGINACEAE,Echium italicum
751,Echium,BORAGINACEAE,Echium plantagineum
752,Echium,BORAGINACEAE,Echium vulgare
753,Eleocharis,CYPERACEAE,Eleocharis acicularis
754,Eleocharis,CYPERACEAE,Eleocharis austriaca
755,Eleocharis,CYPERACEAE,Eleocharis mamillata
756,Eleocharis,CYPERACEAE,Eleocharis multicaulis
757,Eleocharis,CYPERACEAE,Eleocharis palustris
758,Eleocharis,CYPERACEAE,Eleocharis quinqueflora
759,Eleocharis,CYPERACEAE,Eleocharis uniglumis
760,Eleusine,POACEAE,Eleusine tristachya
761,Elymus,POACEAE,Elymus caninus
762,Elymus,POACEAE,Elymus hispidus
763,Elymus,POACEAE,Elymus repens
764,Elymus,POACEAE,Elymus smithii
765,Elymus,POACEAE,Elymus trachycaulus
766,Empetrum,ERICACEAE,Empetrum nigrum
767,Ephedra,EPHEDRACEAE,Ephedra distachya
768,Ephedra,EPHEDRACEAE,Ephedra fragilis
769,Ephedra,EPHEDRACEAE,Ephedra major
770,Epilobium,ONAGRACEAE,Epilobium alpestre
771,Epilobium,ONAGRACEAE,Epilobium alsinifolium
772,Epilobium,ONAGRACEAE,Epilobium anagallidifolium
773,Epilobium,ONAGRACEAE,Epilobium angustifolium
774,Epilobium,ONAGRACEAE,Epilobium collinum
775,Epilobium,ONAGRACEAE,Epilobium duriaei
776,Epilobium,ONAGRACEAE,Epilobium hirsutum
777,Epilobium,ONAGRACEAE,Epilobium lanceolatum
778,Epilobium,ONAGRACEAE,Epilobium montanum
779,Epilobium,ONAGRACEAE,Epilobium obscurum
780,Epilobium,ONAGRACEAE,Epilobium palustre
781,Epilobium,ONAGRACEAE,Epilobium parviflorum
782,Epilobium,ONAGRACEAE,Epilobium roseum
783,Epipactis,ORCHIDACEAE,Epipactis atrorubens
784,Epipactis,ORCHIDACEAE,Epipactis cardina
785,Epipactis,ORCHIDACEAE,Epipactis helleborine
786,Epipactis,ORCHIDACEAE,Epipactis microphylla
787,Epipactis,ORCHIDACEAE,Epipactis palustris
788,Epipactis,ORCHIDACEAE,Epipactis phyllanthes
789,Epipactis,ORCHIDACEAE,Epipactis tremolsii
790,Equisetum,EQUISETACEAE,Equisetum arvense
791,Equisetum,EQUISETACEAE,Equisetum fluviatile
792,Equisetum,EQUISETACEAE,Equisetum hyemale
793,Equisetum,EQUISETACEAE,Equisetum palustre
794,Equisetum,EQUISETACEAE,Equisetum ramosissimum
795,Equisetum,EQUISETACEAE,Equisetum telmateia
796,Eragrostis,POACEAE,Eragrostis barrelieri
797,Eragrostis,POACEAE,Eragrostis cilianensis
798,Eragrostis,POACEAE,Eragrostis curvula
799,Eragrostis,POACEAE,Eragrostis mexicana
800,Eragrostis,POACEAE,Eragrostis minor
801,Eragrostis,POACEAE,Eragrostis pectinacea
802,Eragrostis,POACEAE,Eragrostis pilosa
803,Eragrostis,POACEAE,Eragrostis virescens
804,Eremopyrum,POACEAE,Eremopyrum bonaepartis
805,Erica,ERICACEAE,Erica arborea
806,Erica,ERICACEAE,Erica australis
807,Erica,ERICACEAE,Erica ciliaris
808,Erica,ERICACEAE,Erica cinerea
809,Erica,ERICACEAE,Erica lusitanica
810,Erica,ERICACEAE,Erica scoparia
811,Erica,ERICACEAE,Erica tetralix
812,Erica,ERICACEAE,Erica vagans
813,Erigeron,ASTERACEAE,Erigeron acris
814,Erigeron,ASTERACEAE,Erigeron alpinus
815,Erigeron,ASTERACEAE,Erigeron atticus
816,Erigeron,ASTERACEAE,Erigeron canadensis
817,Erigeron,ASTERACEAE,Erigeron karvinskianus
818,Erigeron,ASTERACEAE,Erigeron uniflorus
819,Erinacea,FABACEAE,Erinacea anthyllis
820,Erodium,GERANIACEAE,Erodium aethiopicum
821,Erodium,GERANIACEAE,Erodium botrys
822,Erodium,GERANIACEAE,Erodium ciconium
823,Erodium,GERANIACEAE,Erodium cicutarium
824,Erodium,GERANIACEAE,Erodium daucoides
825,Erodium,GERANIACEAE,Erodium glandulosum
826,Erodium,GERANIACEAE,Erodium malacoides
827,Erodium,GERANIACEAE,Erodium moschatum
828,Erodium,GERANIACEAE,Erodium paularense
829,Erophila,BRASSICACEAE,Erophila verna
830,Eryngium,APIACEAE,Eryngium bourgatii
831,Eryngium,APIACEAE,Eryngium campestre
832,Eryngium,APIACEAE,Eryngium viviparum
833,Erysimum,BRASSICACEAE,Erysimum cheiri
834,Erysimum,BRASSICACEAE,Erysimum cheiranthoides
835,Erysimum,BRASSICACEAE,Erysimum duriaei
836,Erysimum,BRASSICACEAE,Erysimum incanum
837,Erysimum,BRASSICACEAE,Erysimum linifolium
838,Erysimum,BRASSICACEAE,Erysimum mediohispanicum
839,Erysimum,BRASSICACEAE,Erysimum nevadense
840,Erysimum,BRASSICACEAE,Erysimum repandum
841,Erysimum,BRASSICACEAE,Erysimum rondae
842,Eupatorium,ASTERACEAE,Eupatorium cannabinum
843,Euphorbia,EUPHORBIACEAE,Euphorbia amygdaloides
844,Euphorbia,EUPHORBIACEAE,Euphorbia chamaesyce
845,Euphorbia,EUPHORBIACEAE,Euphorbia characias
846,Euphorbia,EUPHORBIACEAE,Euphorbia dulcis
847,Euphorbia,EUPHORBIACEAE,Euphorbia esula
848,Euphorbia,EUPHORBIACEAE,Euphorbia exigua
849,Euphorbia,EUPHORBIACEAE,Euphorbia falcata
850,Euphorbia,EUPHORBIACEAE,Euphorbia flavicoma
851,Euphorbia,EUPHORBIACEAE,Euphorbia helioscopia
852,Euphorbia,EUPHORBIACEAE,Euphorbia hirsuta
853,Euphorbia,EUPHORBIACEAE,Euphorbia hyberna
854,Euphorbia,EUPHORBIACEAE,Euphorbia lathyris
855,Euphorbia,EUPHORBIACEAE,Euphorbia maculata
856,Euphorbia,EUPHORBIACEAE,Euphorbia nicaeensis
857,Euphorbia,EUPHORBIACEAE,Euphorbia nutans
858,Euphorbia,EUPHORBIACEAE,Euphorbia paralias
859,Euphorbia,EUPHORBIACEAE,Euphorbia peplis
860,Euphorbia,EUPHORBIACEAE,Euphorbia peplus
861,Euphorbia,EUPHORBIACEAE,Euphorbia platyphyllos
862,Euphorbia,EUPHORBIACEAE,Euphorbia prostrata
863,Euphorbia,EUPHORBIACEAE,Euphorbia segetalis
864,Euphorbia,EUPHORBIACEAE,Euphorbia serrata
865,Euphorbia,EUPHORBIACEAE,Euphorbia sulcata
866,Euphrasia,OROBANCHACEAE,Euphrasia alpina
867,Euphrasia,OROBANCHACEAE,Euphrasia hirtella
868,Euphrasia,OROBANCHACEAE,Euphrasia minima
869,Euphrasia,OROBANCHACEAE,Euphrasia nemorosa
870,Euphrasia,OROBANCHACEAE,Euphrasia salisburgensis
871,Evax,ASTERACEAE,Evax pygmaea
872,Fagus,FAGACEAE,Fagus sylvatica
873,Ferula,APIACEAE,Ferula communis
874,Ferula,APIACEAE,Ferula loscosii
875,Ferula,APIACEAE,Ferula tingitana
876,Festuca,POACEAE,Festuca airoides
877,Festuca,POACEAE,Festuca altissima
878,Festuca,POACEAE,Festuca ampla
879,Festuca,POACEAE,Festuca arundinacea
880,Festuca,POACEAE,Festuca burnatii
881,Festuca,POACEAE,Festuca capillifolia
882,Festuca,POACEAE,Festuca elegans
883,Festuca,POACEAE,Festuca eskia
884,Festuca,POACEAE,Festuca gautieri
885,Festuca,POACEAE,Festuca gigantea
886,Festuca,POACEAE,Festuca glauca
887,Festuca,POACEAE,Festuca gr. rubra
888,Festuca,POACEAE,Festuca heterophylla
889,Festuca,POACEAE,Festuca indigesta
890,Festuca,POACEAE,Festuca lemanii
891,Festuca,POACEAE,Festuca longifolia
892,Festuca,POACEAE,Festuca ovina
893,Festuca,POACEAE,Festuca paniculata
894,Festuca,POACEAE,Festuca pratensis
895,Festuca,POACEAE,Festuca pyrenaica
896,Festuca,POACEAE,Festuca rubra
897,Festuca,POACEAE,Festuca scariosa
898,Festuca,POACEAE,Festuca trichophylla
899,Festuca,POACEAE,Festuca yvesii
900,Filago,ASTERACEAE,Filago arvensis
901,Filago,ASTERACEAE,Filago gallica
902,Filago,ASTERACEAE,Filago germanica
903,Filago,ASTERACEAE,Filago lutescens
904,Filago,ASTERACEAE,Filago minima
905,Filago,ASTERACEAE,Filago pyramidata
906,Filago,ASTERACEAE,Filago vulgaris
907,Filipendula,ROSACEAE,Filipendula ulmaria
908,Filipendula,ROSACEAE,Filipendula vulgaris
909,Foeniculum,APIACEAE,Foeniculum vulgare
910,Fragaria,ROSACEAE,Fragaria vesca
911,Frangula,RHAMNACEAE,Frangula alnus
912,Fraxinus,OLEACEAE,Fraxinus angustifolia
913,Fraxinus,OLEACEAE,Fraxinus excelsior
914,Fritillaria,LILIACEAE,Fritillaria lusitanica
915,Fritillaria,LILIACEAE,Fritillaria meleagris
916,Fumana,CISTACEAE,Fumana ericifolia
917,Fumana,CISTACEAE,Fumana laevipes
918,Fumana,CISTACEAE,Fumana procumbens
919,Fumana,CISTACEAE,Fumana thymifolia
920,Gagea,LILIACEAE,Gagea bohemica
921,Gagea,LILIACEAE,Gagea foliosa
922,Gagea,LILIACEAE,Gagea lutea
923,Gagea,LILIACEAE,Gagea pratensis
924,Gagea,LILIACEAE,Gagea reverchonii
925,Gagea,LILIACEAE,Gagea soleirolii
926,Gagea,LILIACEAE,Gagea villosa
927,Galanthus,AMARYLLIDACEAE,Galanthus nivalis
928,Galega,FABACEAE,Galega officinalis
929,Galeopsis,LAMIACEAE,Galeopsis angustifolia
930,Galeopsis,LAMIACEAE,Galeopsis ladanum
931,Galeopsis,LAMIACEAE,Galeopsis tetrahit
932,Galium,RUBIACEAE,Galium aparine
933,Galium,RUBIACEAE,Galium arenarium
934,Galium,RUBIACEAE,Galium boreale
935,Galium,RUBIACEAE,Galium brockmannii
936,Galium,RUBIACEAE,Galium divaricatum
937,Galium,RUBIACEAE,Galium fruticescens
938,Galium,RUBIACEAE,Galium glaucum
939,Galium,RUBIACEAE,Galium lucidum
940,Galium,RUBIACEAE,Galium marchandii
941,Galium,RUBIACEAE,Galium maritimum
942,Galium,RUBIACEAE,Galium mollugo
943,Galium,RUBIACEAE,Galium odoratum
944,Galium,RUBIACEAE,Galium parisiense
945,Galium,RUBIACEAE,Galium pumilum
946,Galium,RUBIACEAE,Galium rotundifolium
947,Galium,RUBIACEAE,Galium saxatile
948,Galium,RUBIACEAE,Galium spurium
949,Galium,RUBIACEAE,Galium tricornutum
950,Galium,RUBIACEAE,Galium uliginosum
951,Galium,RUBIACEAE,Galium verum
952,Genista,FABACEAE,Genista anglica
953,Genista,FABACEAE,Genista cinerea
954,Genista,FABACEAE,Genista florida
955,Genista,FABACEAE,Genista hispanica
956,Genista,FABACEAE,Genista legionensis
957,Genista,FABACEAE,Genista micrantha
958,Genista,FABACEAE,Genista occidentalis
959,Genista,FABACEAE,Genista pilosa
960,Genista,FABACEAE,Genista scorpius
961,Genista,FABACEAE,Genista tinctorea
962,Gentiana,GENTIANACEAE,Gentiana alpina
963,Gentiana,GENTIANACEAE,Gentiana brachyphylla
964,Gentiana,GENTIANACEAE,Gentiana burseri
965,Gentiana,GENTIANACEAE,Gentiana cruciata
966,Gentiana,GENTIANACEAE,Gentiana lutea
967,Gentiana,GENTIANACEAE,Gentiana nivalis
968,Gentiana,GENTIANACEAE,Gentiana pneumonanthe
969,Gentiana,GENTIANACEAE,Gentiana pyrenaica
970,Gentiana,GENTIANACEAE,Gentiana verna
971,Gentianella,GENTIANACEAE,Gentianella campestris
972,Gentianella,GENTIANACEAE,Gentianella ciliata
973,Geranium,GERANIACEAE,Geranium columbinum
974,Geranium,GERANIACEAE,Geranium dissectum
975,Geranium,GERANIACEAE,Geranium lucidum
976,Geranium,GERANIACEAE,Geranium molle
977,Geranium,GERANIACEAE,Geranium nodosum
978,Geranium,GERANIACEAE,Geranium phaeum
979,Geranium,GERANIACEAE,Geranium pratense
980,Geranium,GERANIACEAE,Geranium purpureum
981,Geranium,GERANIACEAE,Geranium pusillum
982,Geranium,GERANIACEAE,Geranium pyrenaicum
983,Geranium,GERANIACEAE,Geranium robertianum
984,Geranium,GERANIACEAE,Geranium rotundifolium
985,Geranium,GERANIACEAE,Geranium sanguineum
986,Geranium,GERANIACEAE,Geranium sylvaticum
987,Geum,ROSACEAE,Geum montanum
988,Geum,ROSACEAE,Geum pyrenaicum
989,Geum,ROSACEAE,Geum rivale
990,Geum,ROSACEAE,Geum urbanum
991,Gladiolus,IRIDACEAE,Gladiolus communis
992,Gladiolus,IRIDACEAE,Gladiolus illyricus
993,Gladiolus,IRIDACEAE,Gladiolus italicus
994,Glaucium,PAPAVERACEAE,Glaucium corniculatum
995,Glaucium,PAPAVERACEAE,Glaucium flavum
996,Glebionis,ASTERACEAE,Glebionis coronaria
997,Glebionis,ASTERACEAE,Glebionis segetum
998,Glechoma,LAMIACEAE,Glechoma hederacea
999,Glyceria,POACEAE,Glyceria declinata
1000,Glyceria,POACEAE,Glyceria fluitans
1001,Glyceria,POACEAE,Glyceria maxima
1002,Glyceria,POACEAE,Glyceria notata
1003,Gnaphalium,ASTERACEAE,Gnaphalium luteo-album
1004,Gnaphalium,ASTERACEAE,Gnaphalium norvegicum
1005,Gnaphalium,ASTERACEAE,Gnaphalium supinum
1006,Gnaphalium,ASTERACEAE,Gnaphalium sylvaticum
1007,Gnaphalium,ASTERACEAE,Gnaphalium uliginosum
1008,Gratiola,PLANTAGINACEAE,Gratiola officinalis
1009,Gymnadenia,ORCHIDACEAE,Gymnadenia conopsea
1010,Gypsophila,CARYOPHYLLACEAE,Gypsophila elegans
1011,Gypsophila,CARYOPHYLLACEAE,Gypsophila fastigiata
1012,Gypsophila,CARYOPHYLLACEAE,Gypsophila hispanica
1013,Gypsophila,CARYOPHYLLACEAE,Gypsophila muralis
1014,Hedera,ARALIACEAE,Hedera helix
1015,Hedysarum,FABACEAE,Hedysarum boveanum
1016,Hedysarum,FABACEAE,Hedysarum coronarium
1017,Hedysarum,FABACEAE,Hedysarum humile
1018,Hedysarum,FABACEAE,Hedysarum spinosissimum
1019,Helianthemum,CISTACEAE,Helianthemum aegyptiacum
1020,Helianthemum,CISTACEAE,Helianthemum almeriense
1021,Helianthemum,CISTACEAE,Helianthemum apenninum
1022,Helianthemum,CISTACEAE,Helianthemum canum
1023,Helianthemum,CISTACEAE,Helianthemum cinereum
1024,Helianthemum,CISTACEAE,Helianthemum croceum
1025,Helianthemum,CISTACEAE,Helianthemum hirtum
1026,Helianthemum,CISTACEAE,Helianthemum ledifolium
1027,Helianthemum,CISTACEAE,Helianthemum marifolium
1028,Helianthemum,CISTACEAE,Helianthemum nummularium
1029,Helianthemum,CISTACEAE,Helianthemum oelandicum
1030,Helianthemum,CISTACEAE,Helianthemum origanifolium
